state_county_fips,POPESTIMATE2019,STNAME,Abbreviation,STATE,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,PopDensity2010
48001,57735,Texas,TX,48,39.15,38.7,40.75,55
48003,18705,Texas,TX,48,31.75,30.9,32.5,9.9
48005,86715,Texas,TX,48,36.55,35.75,37.35,108.8
48007,23510,Texas,TX,48,49.05,48,50.2,91.9
48009,8553,Texas,TX,48,44.1,42.65,45.05,10
48011,1887,Texas,TX,48,44.7,43.75,46.3,2.1
48013,51153,Texas,TX,48,35.65,34.7,36.5,36.8
48015,30032,Texas,TX,48,41.15,40.45,41.85,44
48017,7000,Texas,TX,48,32.55,32.15,33.15,8.7
48019,23112,Texas,TX,48,51.3,50.85,51.6,25.9
48021,88723,Texas,TX,48,38.4,37.65,39.25,83.5
48023,3509,Texas,TX,48,46.5,45.1,47.5,4.3
48025,32565,Texas,TX,48,35,34.6,36,36.2
48027,362924,Texas,TX,48,30.2,28.9,31.55,295.2
48029,2003554,Texas,TX,48,33.15,31.95,34.45,1383.1
48031,11931,Texas,TX,48,48.7,47.25,50.1,14.8
48033,654,Texas,TX,48,46.05,44.9,46.9,0.7
48035,18685,Texas,TX,48,46.4,45.45,47.1,18.5
48037,93245,Texas,TX,48,37.9,36.3,39.7,104.6
48039,374264,Texas,TX,48,35.45,35,35.95,230.7
48041,229211,Texas,TX,48,25.2,24.75,25.95,332.8
48043,9203,Texas,TX,48,42,41.05,42.8,1.5
48045,1546,Texas,TX,48,45.7,44.7,46.6,1.8
48047,7093,Texas,TX,48,35.3,32.65,38.1,7.7
48049,37864,Texas,TX,48,40.45,39.25,41.6,40.3
48051,18443,Texas,TX,48,43.75,42.85,44.3,26.1
48053,48155,Texas,TX,48,43.85,42.75,44.9,43
48055,43664,Texas,TX,48,35.5,33.9,37.2,69.8
48057,21290,Texas,TX,48,38.2,37.4,38.8,42.2
48059,13943,Texas,TX,48,43.4,42.6,44.35,15.1
48061,423163,Texas,TX,48,31.05,29.05,32.9,456
48063,13094,Texas,TX,48,38.15,36.9,39.25,63.3
48065,5926,Texas,TX,48,41.7,40.8,42.4,6.7
48067,30026,Texas,TX,48,43.6,42.45,44.65,32.5
48069,7530,Texas,TX,48,34.1,34.15,34.3,9
48071,43837,Texas,TX,48,35.4,35.05,35.8,58.8
48073,52646,Texas,TX,48,37.9,36.7,39,48.3
48075,7306,Texas,TX,48,33.6,30.35,41.8,10.1
48077,10471,Texas,TX,48,45.95,45.4,46.55,9.9
48079,2853,Texas,TX,48,35.2,35.05,35.7,4
48081,3387,Texas,TX,48,48.55,47.9,49.2,3.6
48083,8175,Texas,TX,48,46.6,46.2,47.3,7
48085,1034730,Texas,TX,48,36.1,35.3,36.75,930
48087,2920,Texas,TX,48,37.55,35.6,39.5,3.3
48089,21493,Texas,TX,48,43.5,42.2,44.9,21.7
48000,28995881,Texas,TX,48,NULL,NULL,NULL,96.3
48091,156209,Texas,TX,48,42.35,41.35,43.35,193.9
48093,13635,Texas,TX,48,44.85,44.15,45.25,14.9
48095,2726,Texas,TX,48,41.25,40.05,47.15,4.2
48097,41257,Texas,TX,48,39.9,38.25,41.5,43.9
48099,75951,Texas,TX,48,30.7,28.95,32.45,71.7
48101,1398,Texas,TX,48,47.05,43.5,48.1,1.7
48103,4797,Texas,TX,48,33.85,33.1,34.55,5.6
48105,3464,Texas,TX,48,39.05,39.2,38.65,1.3
48107,5737,Texas,TX,48,37.7,36.45,38.8,6.7
48109,2171,Texas,TX,48,39.4,37.2,41.25,0.6
48111,7287,Texas,TX,48,31.5,31.15,32.15,4.5
48113,2635516,Texas,TX,48,33.15,32.25,33.95,2718
48115,12728,Texas,TX,48,33.3,31.3,37.15,15.4
48117,18546,Texas,TX,48,31.3,30.3,32.2,12.9
48119,5331,Texas,TX,48,43.9,43,44.5,20.4
48121,887207,Texas,TX,48,34.35,33.7,34.95,754.3
48123,20160,Texas,TX,48,42.2,40.8,44.2,22.1
48125,2211,Texas,TX,48,42.25,37.9,49.4,2.7
48127,10124,Texas,TX,48,34.85,33.3,36.25,7.5
48129,3278,Texas,TX,48,42.85,40.15,45.15,4
48131,11157,Texas,TX,48,36.6,35.35,38.05,6.6
48133,18360,Texas,TX,48,42.6,40.55,44.5,20.1
48135,166223,Texas,TX,48,30.65,30.1,31.3,152.8
48137,1932,Texas,TX,48,47.9,47.2,48.5,0.9
48139,184826,Texas,TX,48,35.8,34.7,36.9,159.9
48141,839238,Texas,TX,48,31.45,29.65,33.3,790.6
48143,42698,Texas,TX,48,30.6,30.15,31.15,35
48145,17297,Texas,TX,48,39.9,39,40.55,23.3
48147,35514,Texas,TX,48,41.4,39.7,43.45,38.1
48149,25346,Texas,TX,48,47.25,46.05,48.15,25.8
48151,3830,Texas,TX,48,45.75,44.7,46.9,4.4
48153,5712,Texas,TX,48,37.95,36.9,39.05,6.5
48155,1155,Texas,TX,48,48.05,47.05,48.5,1.9
48157,811688,Texas,TX,48,35.55,34.6,36.4,679.5
48159,10725,Texas,TX,48,42.85,42.1,43.7,37.3
48161,19717,Texas,TX,48,41.5,40.9,42.4,22.6
48163,20306,Texas,TX,48,31.65,30.35,35.05,15.2
48165,21492,Texas,TX,48,28.4,27.95,28.6,11.7
48167,342139,Texas,TX,48,37.4,36.4,38.4,769.9
48169,6229,Texas,TX,48,33.45,31.3,37.95,7.2
48171,26988,Texas,TX,48,50.25,48.4,51.75,23.5
48173,1409,Texas,TX,48,37.5,37.15,38.3,1.4
48175,7658,Texas,TX,48,45.7,44.75,46.35,8.5
48177,20837,Texas,TX,48,37.2,35.95,38.45,18.6
48179,21886,Texas,TX,48,37.6,37.45,37.8,24.3
48181,136212,Texas,TX,48,39.55,38.1,40.95,129.6
48183,123945,Texas,TX,48,35.3,33.5,37.2,445.4
48185,28880,Texas,TX,48,40.35,39.9,41,33.8
48187,166847,Texas,TX,48,36.55,35.5,37.6,184.9
48189,33406,Texas,TX,48,32.45,31.5,33.6,36.1
48191,2964,Texas,TX,48,43.5,42.85,44.15,3.8
48193,8461,Texas,TX,48,46.65,44.55,48.45,10.2
48195,5399,Texas,TX,48,35.25,34.65,36,6.1
48197,3933,Texas,TX,48,43,41.5,44.3,6
48199,57602,Texas,TX,48,38.65,37.2,39.9,61.3
48201,4713325,Texas,TX,48,32.85,32.15,33.65,2402.4
48203,66553,Texas,TX,48,37.7,36.5,38.8,72.9
48205,5576,Texas,TX,48,39.55,39.65,39.45,4.1
48207,5658,Texas,TX,48,42.85,39.65,46.95,6.5
48209,230191,Texas,TX,48,31,30.45,31.6,231.7
48211,3819,Texas,TX,48,35.05,34.55,35.5,4.2
48213,82737,Texas,TX,48,43.65,42.3,44.8,89.9
48215,868707,Texas,TX,48,28.65,27.25,29.95,493.2
48217,36649,Texas,TX,48,41.65,40.5,42.75,36.6
48219,23021,Texas,TX,48,33.6,32.3,34.85,25.2
48221,61643,Texas,TX,48,46.4,44.9,47.8,121.7
48223,37084,Texas,TX,48,39.15,37.65,40.5,45.8
48225,22968,Texas,TX,48,44.4,43,46.45,19.3
48227,36664,Texas,TX,48,37.1,37.45,36.8,38.9
48229,4886,Texas,TX,48,36.55,37.5,35.65,0.8
48231,98594,Texas,TX,48,38.1,37.05,39.15,102.5
48233,20938,Texas,TX,48,37.7,37.2,38.2,25
48235,1536,Texas,TX,48,44.2,43.35,45.7,1.5
48237,8935,Texas,TX,48,39.2,37.15,41.95,9.9
48239,14760,Texas,TX,48,38.2,37.3,39.25,17
48241,35529,Texas,TX,48,41.05,39.45,42.55,38
48243,2274,Texas,TX,48,55.65,55.35,55.85,1
48245,251565,Texas,TX,48,36.1,35.1,37.4,287.9
48247,5200,Texas,TX,48,34.7,33.1,36.45,4.7
48249,40482,Texas,TX,48,34.55,33.15,36.05,47.2
48251,175817,Texas,TX,48,36.8,35.75,37.75,208.3
48253,20083,Texas,TX,48,38.75,37,43.5,21.8
48255,15601,Texas,TX,48,35.9,34.25,39.9,19.8
48257,136154,Texas,TX,48,35.55,34.85,36.25,132.4
48259,47431,Texas,TX,48,43.25,41.75,44.55,50.4
48261,404,Texas,TX,48,38.1,37.15,38.55,0.3
48263,762,Texas,TX,48,48.25,45.4,51.1,0.9
48265,52600,Texas,TX,48,47.9,46.2,49.35,45
48267,4337,Texas,TX,48,50.25,49.1,51.05,3.7
48269,272,Texas,TX,48,43.15,42.4,43.6,0.3
48271,3667,Texas,TX,48,43.8,40.8,48.65,2.6
48273,30680,Texas,TX,48,28.4,27.25,29.55,36.4
48275,3664,Texas,TX,48,40.15,39,41.25,4.4
48277,49859,Texas,TX,48,40.2,38.5,41.75,54.9
48279,12893,Texas,TX,48,36.1,34.45,37.6,13.8
48281,21428,Texas,TX,48,41.6,40.55,42.7,27.6
48283,7520,Texas,TX,48,30.35,27.65,37.25,4.6
48285,20154,Texas,TX,48,44.35,43.15,45.55,19.9
48287,17239,Texas,TX,48,41.45,40.1,42.7,26.4
48289,17404,Texas,TX,48,45.7,44.7,46.45,15.7
48291,88219,Texas,TX,48,36.35,35.45,37.1,65.3
48293,23437,Texas,TX,48,39.2,36.75,42.45,25.8
48295,3233,Texas,TX,48,36.8,35.55,38,3.5
48297,12207,Texas,TX,48,41.9,39.8,45.4,11.1
48299,21795,Texas,TX,48,56.4,55.55,57.15,20.7
48301,169,Texas,TX,48,37.4,40.75,34.75,0.1
48303,310569,Texas,TX,48,30.55,29.3,31.9,311.3
48305,5951,Texas,TX,48,38.4,37.65,39.25,6.6
48307,7984,Texas,TX,48,43.5,41.4,45.45,7.8
48309,256623,Texas,TX,48,32.8,31.4,34.2,226.5
48311,743,Texas,TX,48,48,48.3,48,0.6
48313,14284,Texas,TX,48,34.5,32.3,39.45,29.3
48315,9854,Texas,TX,48,49.45,49.05,49.95,27.7
